# Labels,Labels,Labels,Labels,Labels,Energy (Hz)
# N,MF,d_pi(d0),d_plus(d0),d_minus(d0)
2,4,-0.000000,0.000000,-0.000000,2940642745.301650
2,4,0.000000,0.000000,-0.000000,2940647123.327673
2,-1,-0.000000,0.000000,0.000000,2940661402.769745
2,5,0.000000,0.000000,0.000000,2940672068.249453
2,-0,-0.000000,-0.000000,0.000000,2940678533.291217
2,1,0.000000,0.000000,0.000000,2940685800.684081
2,1,-0.000000,0.000000,0.000000,2940701640.050282
2,4,0.000000,-0.000000,-0.000000,2940704509.367692
2,0,-0.000000,-0.000000,-0.000000,2940705377.611545
2,-1,-0.000000,0.000000,0.000000,2940707090.024647
2,2,-0.000000,0.000000,0.000000,2940715353.287676
2,3,-0.000000,0.000000,-0.000000,2940715697.989303
2,3,0.000000,0.000000,0.000000,2940723715.637167
2,-2,-0.000000,-0.000000,0.000000,2940745342.457096
2,-1,-0.000000,0.000000,0.000000,2940757207.960521
2,4,0.000000,-0.000000,0.000000,2940758288.289690
2,5,0.000000,0.000000,0.000000,2940759274.622473
2,0,-0.000000,-0.000000,-0.000000,2940765170.450035
2,-2,-0.000000,-0.000000,-0.000000,2940784852.183953
2,3,-0.000000,0.000000,-0.000000,2940785429.324242
2,2,0.000000,-0.000000,0.000000,2940792324.431916
2,-1,0.000000,-0.000000,-0.000000,2940793531.619250
2,1,0.000000,0.000000,-0.000000,2940798959.096114
2,2,-0.000000,0.000000,0.000000,2940803098.370432
2,4,0.000000,0.000000,-0.000000,2940808873.336178
2,2,-0.000000,0.000000,0.000000,2940816956.837027
2,-0,0.000000,0.000000,-0.000000,2940819119.964419
2,-3,0.000000,0.000000,0.000000,2940830576.181754
2,-2,-0.000000,0.000000,0.000000,2940838284.527079
2,-1,-0.000000,-0.000000,0.000000,2940845820.616670
2,3,0.000000,-0.000000,-0.000000,2940846335.220898
2,3,-0.000000,-0.000000,0.000000,2940851805.935680
2,-3,0.000000,0.000000,-0.000000,2940863796.155013
2,1,-0.000000,0.000000,0.000000,2940870995.565357
2,2,0.000000,0.000000,-0.000000,2940871816.502371
2,4,0.000000,0.000000,0.000000,2940876486.765520
2,-2,-0.000000,0.000000,-0.000000,2940882380.639683
2,0,-0.000000,0.000000,0.000000,2940888178.830663
2,1,-0.000000,0.000000,-0.000000,2940891272.184269
2,2,-0.000000,0.000000,-0.000000,2940914645.962430
2,-4,-0.000000,-0.000000,0.000000,2940915904.834135
2,3,-0.000000,-0.000000,-0.000000,2940916527.516097
2,1,0.000000,-0.000000,-0.000000,2940916536.146534
2,-1,0.000000,0.000000,0.000000,2940931173.015041
2,2,-0.000000,0.000000,0.000000,2940934969.513104
2,-0,-0.000000,-0.000000,-0.000000,2940950662.527411
2,1,-0.000000,-0.000000,0.000000,2940961331.334787
2,-3,-0.000000,-0.000000,0.000000,2940971585.908383
2,3,0.000000,-0.000000,0.000000,2940977492.222621
2,-1,-0.000000,0.000000,0.000000,2940980712.647806
2,0,0.000000,-0.000000,0.000000,2940983129.589368
2,2,-0.000000,0.000000,0.000000,2940986910.689139
2,1,0.000000,0.000000,0.000000,2940987995.918391
2,3,-0.000000,0.000000,0.000000,2941003111.474361
2,0,-0.000000,-0.000000,0.000000,2941010168.713377
2,1,-0.000000,0.000000,0.000000,2941022762.840370
2,2,0.000000,-0.000000,-0.000000,2941027962.715927
2,1,0.000000,0.000000,0.000000,2941029890.506614
2,0,0.000000,0.000000,-0.000000,2941034191.172916
2,-2,-0.000000,-0.000000,0.000000,2941040188.669806
2,-0,-0.000000,-0.000000,0.000000,2941053586.389824
2,-4,-0.000000,-0.000000,-0.000000,2941061008.387142
2,-2,-0.000000,0.000000,0.000000,2941075245.829655
2,-1,0.000000,0.000000,-0.000000,2941078295.414434
2,4,-0.000000,-0.000000,-0.000000,2941080326.164076
2,2,-0.000000,0.000000,0.000000,2941087228.097548
2,1,-0.000000,-0.000000,0.000000,2941107686.331103
2,0,0.000000,0.000000,0.000000,2941109775.122350
2,0,0.000000,0.000000,-0.000000,2941115542.830371
2,-1,-0.000000,-0.000000,-0.000000,2941126220.833322
2,2,-0.000000,0.000000,0.000000,2941131858.419129
2,1,0.000000,-0.000000,0.000000,2941141972.618192
2,-3,0.000000,0.000000,0.000000,2941147174.914577
2,-1,-0.000000,0.000000,0.000000,2941149128.674883
2,0,-0.000000,0.000000,0.000000,2941149340.911432
2,-5,-0.000000,-0.000000,0.000000,2941150584.687768
2,-1,0.000000,0.000000,0.000000,2941163747.171870
2,-3,0.000000,-0.000000,0.000000,2941171006.566197
2,-2,-0.000000,0.000000,-0.000000,2941176255.289491
2,1,0.000000,-0.000000,-0.000000,2941193692.954164
2,-1,0.000000,0.000000,-0.000000,2941194228.201427
2,3,0.000000,-0.000000,-0.000000,2941214922.676687
2,0,-0.000000,-0.000000,-0.000000,2941222001.182519
2,-1,-0.000000,0.000000,0.000000,2941236519.948966
2,-2,-0.000000,0.000000,-0.000000,2941238200.215899
2,-4,0.000000,-0.000000,0.000000,2941252678.973677
2,-2,0.000000,-0.000000,0.000000,2941253704.633817
2,0,0.000000,-0.000000,0.000000,2941257763.872657
2,1,0.000000,-0.000000,0.000000,2941258127.454002
2,-4,-0.000000,-0.000000,0.000000,2941267510.603056
2,-1,-0.000000,0.000000,0.000000,2941271249.707067
2,-3,0.000000,0.000000,0.000000,2941276373.631809
2,-2,-0.000000,-0.000000,0.000000,2941295340.596438
2,-0,0.000000,0.000000,0.000000,2941297774.153732
2,-1,-0.000000,0.000000,0.000000,2941333529.198457
2,2,0.000000,-0.000000,0.000000,2941345172.406015
2,-3,0.000000,-0.000000,-0.000000,2941349138.982494
2,-2,0.000000,0.000000,-0.000000,2941355953.203200
2,-5,0.000000,-0.000000,0.000000,2941357042.508745
2,-1,0.000000,-0.000000,-0.000000,2941373956.359355
2,-0,0.000000,0.000000,-0.000000,2941382386.485924
2,-2,-0.000000,-0.000000,-0.000000,2941393112.416904
2,-1,0.000000,-0.000000,0.000000,2941399365.292127
2,-3,0.000000,0.000000,-0.000000,2941425875.395842
2,-2,-0.000000,-0.000000,0.000000,2941444767.650517
2,-4,-0.000000,-0.000000,-0.000000,2941459514.206676
2,-6,-0.000000,0.000000,0.000000,2941460472.819396
2,1,-0.000000,-0.000000,-0.000000,2941472171.281765
2,-3,0.000000,-0.000000,0.000000,2941476149.569013
2,-2,-0.000000,-0.000000,0.000000,2941489513.220242
2,-2,0.000000,0.000000,0.000000,2941497922.574432
2,-1,-0.000000,0.000000,-0.000000,2941505130.942518
2,-3,0.000000,-0.000000,0.000000,2941514037.272675
2,-4,0.000000,-0.000000,0.000000,2941554720.205495
2,-3,-0.000000,-0.000000,0.000000,2941559830.905925
2,-5,0.000000,-0.000000,0.000000,2941569436.662673
2,0,0.000000,0.000000,-0.000000,2941596584.870482
